customer_id,customer_region,customer_age,vendor_count,product_count,chain_orders,first_order,last_order,last_promo,payment_method,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,DOW_0,DOW_1,DOW_2,DOW_3,DOW_4,DOW_5,DOW_6,HR_1,HR_2,HR_3,HR_4,HR_5,HR_6,HR_7,HR_8,HR_9,HR_10,HR_11,HR_12,HR_13,HR_14,HR_15,HR_16,HR_17,HR_18,HR_19,HR_20,HR_21,HR_22,HR_23,total_cui_spending,total_orders,generation,weekend_orders,weekday_orders,orders_dawn,orders_morning,orders_afternoon,orders_evening,order_recency,avg_daily_orders,avg_order_value,promo_used,city,cui_asian_origin,cui_western,cui_other_origin,cui_main_dishes,cui_snacks_beverages,prop_cui_american,prop_cui_asian,prop_cui_beverages,prop_cui_cafe,prop_cui_chicken dishes,prop_cui_chinese,prop_cui_desserts,prop_cui_healthy,prop_cui_indian,prop_cui_italian,prop_cui_japanese,prop_cui_noodle dishes,prop_cui_other,prop_cui_street food / snacks,prop_cui_thai,prop_cui_asian_origin,prop_cui_western,prop_cui_other_origin,prop_cui_main_dishes,prop_cui_snacks_beverages,prop_chain_orders,prop_weekend_orders,prop_weekday_orders,prop_orders_dawn,prop_orders_morning,prop_orders_afternoon,prop_orders_evening,products_per_vendor
b25111f68a,4140,30,1,26,0,2,72,FREEBIE,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.23,0.0,0.0,0.0,0.0,0.0,1,2,6,3,2,3,2,0,0,0,0,0,0,0,0,1,1,2,1,2,2,3,1,4,2,0,0,0,0,0,139.23,19,Millennials,3,16,0,4,13,2,0.8,0.2111111111111111,7.327894736842104,1,4,0.0,139.23,0.0,139.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.15789473684210525,0.8421052631578947,0.0,0.21052631578947367,0.6842105263157895,0.10526315789473684,26.0
6b3e226148,4660,24,3,26,11,2,81,DELIVERY,CARD,0.0,115.74,0.0,0.0,0.0,0.0,0.0,0.0,56.68,0.0,0.0,0.0,103.63,0.0,0.0,3,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,276.04999999999995,13,Gen_Z,4,9,0,0,13,0,0.9,0.14444444444444443,21.23461538461538,1,4,172.42,0.0,103.63,276.04999999999995,0.0,0.0,0.4192718710378555,0.0,0.0,0.0,0.0,0.0,0.0,0.2053251222604601,0.0,0.0,0.0,0.3754030067016845,0.0,0.0,0.6245969932983155,0.0,0.3754030067016845,1.0,0.0,0.8461538461538461,0.3076923076923077,0.6923076923076923,0.0,0.0,1.0,0.0,8.666666666666666
d2ef90a47f,8670,68,9,42,4,2,83,NOPROMO,CASH,54.35,30.86,0.0,0.0,0.0,0.0,18.23,0.0,0.0,0.0,53.6,0.0,0.0,382.39,0.0,2,3,1,2,3,2,4,0,0,0,1,0,2,0,0,0,0,1,1,3,8,1,0,0,0,0,0,0,0,0,539.4300000000001,17,Baby_Boomers,6,11,1,3,13,0,0.9222222222222223,0.18888888888888888,31.731176470588238,0,8,84.46000000000001,54.35,0.0,138.81,400.62,0.10075450012049755,0.057208534935024,0.0,0.0,0.0,0.0,0.033794931687151246,0.0,0.0,0.0,0.09936414363309418,0.0,0.0,0.7088778896242329,0.0,0.15657267856811818,0.10075450012049755,0.0,0.2573271786886157,0.7426728213113841,0.23529411764705882,0.35294117647058826,0.6470588235294118,0.058823529411764705,0.17647058823529413,0.7647058823529411,0.0,4.666666666666667
507148a5f6,4660,21,2,22,0,2,87,NOPROMO,CARD,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.57,0.0,0.0,0.0,0.0,0.0,1,1,3,1,4,6,1,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,4,4,0,0,0,0,0,0,165.4,17,Gen_Z,2,15,0,4,13,0,0.9666666666666667,0.18888888888888888,9.729411764705883,0,4,0.0,165.4,0.0,165.4,0.0,0.02920193470374849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9707980652962515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.11764705882352941,0.8823529411764706,0.0,0.23529411764705882,0.7647058823529411,0.0,11.0
52ef8ee422,4660,25,3,25,1,2,87,FREEBIE,DIGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,233.77,0.0,0.0,1,4,5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,3,1,0,0,0,0,0,0,0,238.52,13,Gen_Z,1,12,0,1,12,0,0.9666666666666667,0.14444444444444443,18.34769230769231,1,4,0.0,4.75,233.77,238.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019914472580915644,0.0,0.0,0.9800855274190844,0.0,0.0,0.0,0.019914472580915644,0.9800855274190844,1.0,0.0,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.0,0.07692307692307693,0.9230769230769231,0.0,8.333333333333334
d29fa5bf78,4660,24,4,33,16,2,88,NOPROMO,CARD,0.0,45.05,0.0,53.88,0.0,0.0,0.0,0.0,0.0,0.0,6.48,0.0,143.51,0.0,0.0,1,7,3,3,0,1,5,0,0,0,0,0,0,0,0,3,7,3,1,0,1,1,2,0,2,0,0,0,0,0,248.92000000000002,20,Gen_Z,6,14,0,13,5,2,0.9777777777777777,0.2222222222222222,12.446000000000002,0,4,51.53,0.0,143.51,195.04,53.88,0.0,0.18098184155551983,0.0,0.21645508597139643,0.0,0.0,0.0,0.0,0.0,0.0,0.026032460228185762,0.0,0.5765306122448979,0.0,0.0,0.2070143017837056,0.0,0.5765306122448979,0.7835449140286035,0.21645508597139643,0.8,0.3,0.7,0.0,0.65,0.25,0.1,8.25
4f75dc005b,4660,26,3,42,31,2,89,NOPROMO,CARD,280.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.43,6,9,3,5,3,4,2,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,6,7,11,0,0,0,0,0,292.64,32,Millennials,8,24,0,2,19,11,0.9888888888888889,0.35555555555555557,9.145,0,4,12.43,280.21,0.0,292.64,0.0,0.9575246036085292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04247539639147075,0.04247539639147075,0.9575246036085292,0.0,1.0,0.0,0.96875,0.25,0.75,0.0,0.0625,0.59375,0.34375,14.0
b57a63c599,4660,24,7,64,2,2,89,NOPROMO,CARD,76.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.17,121.0,0.0,0.0,0.0,74.31,0.0,9,11,6,8,7,5,4,0,0,0,0,0,0,0,5,10,9,0,1,3,11,7,3,1,0,0,0,0,0,0,289.16,50,Gen_Z,13,37,0,24,26,0,0.9888888888888889,0.5555555555555556,5.783200000000001,0,4,17.17,197.68,0.0,214.85000000000002,74.31,0.2651819062110942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059378890579609905,0.41845345137640055,0.0,0.0,0.0,0.2569857518328953,0.0,0.059378890579609905,0.6836353575874948,0.0,0.7430142481671047,0.2569857518328953,0.04,0.26,0.74,0.0,0.48,0.52,0.0,9.142857142857142
d82b2a107b,2360,24,6,56,27,2,89,NOPROMO,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.39,143.64,0.0,12.37,0.0,0.0,0.0,2,10,4,2,5,5,7,0,0,0,0,0,0,0,6,6,2,1,0,10,0,0,1,0,0,0,6,3,0,0,203.39999999999998,35,Gen_Z,9,26,0,15,11,9,0.9888888888888889,0.3888888888888889,5.8114285714285705,0,2,47.39,143.64,12.37,203.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23298918387413967,0.7061946902654868,0.0,0.06081612586037365,0.0,0.0,0.0,0.23298918387413967,0.7061946902654868,0.06081612586037365,1.0,0.0,0.7714285714285715,0.2571428571428571,0.7428571428571429,0.0,0.42857142857142855,0.3142857142857143,0.2571428571428571,9.333333333333334
fc7c69b287,8670,23,19,53,10,2,89,NOPROMO,CASH,7.06,243.99,0.0,0.0,0.0,25.35,11.76,0.0,0.0,0.0,43.12,0.0,0.0,308.48,0.0,1,6,3,4,5,4,5,0,0,2,2,1,3,2,1,0,1,0,1,4,2,0,3,2,2,0,0,1,1,0,639.76,28,Gen_Z,6,22,5,7,12,4,0.9888888888888889,0.3111111111111111,22.84857142857143,0,8,312.46000000000004,7.06,0.0,319.52000000000004,320.24,0.011035388270601475,0.3813773915218207,0.0,0.0,0.0,0.03962423408778292,0.01838189320995373,0.0,0.0,0.0,0.06740027510316368,0.0,0.0,0.48218081780667754,0.0,0.48840190071276735,0.011035388270601475,0.0,0.4994372889833688,0.5005627110166313,0.35714285714285715,0.21428571428571427,0.7857142857142857,0.17857142857142858,0.25,0.42857142857142855,0.14285714285714285,2.789473684210526
